Gene_name,Protein_interaction_score,Genetic_interaction_score,Single_cell_score,Cluster_score,Motif_score,Publication_score,Protein_atlas_score,Total_score,Norm_total_score,Weighted_total_scores,Seq
RPGRIP1L,0.22258576308102,0,0.589449541284404,0.479357798165138,0,0.650900913511743,0,23.3832892996722,2.95620667113355,1.9422940160423,46
ARL13B,0.145009985034446,0.0809498111171074,0.589449541284404,0.0239678899082569,0.101909285140353,0.659740672409594,0.321100917431193,14.2262615197872,4.24371602174564,1.92212810232535,47
RSPH9,-0.0571428367943629,0,0.355626078946405,0.479357798165138,0,0.787033200538644,0.321100917431193,16.2721801969264,3.34596849117735,1.88597515828702,48
RSPH3,0.0556058320923718,0,0.355626078946405,0.479357798165138,0,0.654436817070883,0.321100917431193,18.3444163007667,3.35155015366523,1.86612744370599,49
CFAP161,0.0162478534693751,0,0.229756197010276,0.479357798165138,0.127448513024785,0.691563804441857,0.321100917431193,18.5457036542245,3.68225351262946,1.86547508354262,50
CFAP58,0.0142476596248716,0,0.355626078946405,0.479357798165138,0.0338779250570762,0.659446013779665,0.321100917431193,17.3012228643253,3.45202649950733,1.86365639300435,51
DZIP1L,0.0162478534693751,0,0.355626078946405,0.479357798165138,0.161326438081861,0.497383767319068,0.321100917431193,17.5109209100609,3.84240070993855,1.83104285341304,52
RSPH4A,0,0,0.355626078946405,0.479357798165138,0,0.673589628016226,0.321100917431193,16.5378706227086,3.30090820952116,1.82967442255896,53
CASC1,0.0379116580952085,0,0.355626078946405,0.479357798165138,0,0.626149588597761,0.321100917431193,17.501937900996,3.29982872988508,1.8201460412357,54
TMEM67,-0.0656510477928207,0,0.589449541284404,0.479357798165138,0.101909285140353,0.714547177576268,0,15.8508333249963,3.10112170019904,1.81961275437334,55
CFAP53,0.0459876524487671,0,0.355626078946405,0.479357798165138,0.0656983039880169,0.546886417147033,0.321100917431193,17.8911013064116,3.51442191363482,1.81465716812655,56
LCA5,0.218506339486725,0,0.355626078946405,0.239678899082569,0,0.663865893228591,0.321100917431193,19.1469370712779,3.06778210481777,1.79877812817548,57
SPEF2,-0.0145089234048187,0,0.355626078946405,0.479357798165138,0,0.647365009952603,0.321100917431193,16.0420755156749,3.25536000576936,1.78894088109052,58
TTC21A,0.075823316190417,0,0.589449541284404,0.479357798165138,0,0.563092641793092,0.0802752293577982,17.7882439958684,2.92925696993139,1.78799852679085,59
EFHC2,0.00229698832117404,0,0.355626078946405,0.479357798165138,0.0680313600832766,0.553663565635385,0.321100917431193,16.4329188583768,3.47623727616983,1.78007670858257,60
CEP290,0.224266146478698,0,0.355626078946405,0.479357798165138,0,0.631158785306543,0.0802752293577982,23.3449193370128,2.79120988099878,1.77068403825458,61
UNC119B,0.182410427269366,0.036697247706422,0.355626078946405,0.479357798165138,0,0.388949391505433,0.321100917431193,21.1375543209415,3.63732100819417,1.76414186102396,62
SPA17,0.101236625463029,0,0.355626078946405,0.239678899082569,0.0680313600832766,0.671821676236656,0.321100917431193,15.8322993026867,3.2240055334727,1.75749555724313,63
BBS4,0.44766494408082,0.0458715596330275,0.469908643073447,0.0239678899082569,0,0.758745972065522,0,23.0395784456242,2.70036806487917,1.74615900876107,64
TEKT2,0.0142168717857032,0,0.355626078946405,0.239678899082569,0.0680313600832766,0.737235892080752,0.321100917431193,13.2810340541737,3.18145794359233,1.7358900194099,65
CCDC113,0.0100164323944727,0,0.355626078946405,0.479357798165138,0.127448513024785,0.75904063069545,0,17.9561011211955,2.95777454723973,1.73148945322625,66
ARL6,0.13269080333323,0,0.469908643073447,0.0239678899082569,0.161326438081861,0.782907979719647,0.160550458715596,13.9233561781177,3.02956281075526,1.73135221283204,67
TTC8,0.407879991115623,0.0458715596330275,0.359693344274127,0.0239678899082569,0.0338779250570762,0.834178581327182,0,22.508530397644,2.68879089525634,1.70546929131529,68
SPAG17,0.014807038541445,0,0.355626078946405,0.239678899082569,0.127448513024785,0.642355813243821,0.321100917431193,13.2163273716026,3.34300412825702,1.70101726027022,69
GAS8,0.0245229073359903,0,0.236085180735448,0.479357798165138,0,0.639409226944537,0.321100917431193,17.0351951557381,3.09379043748555,1.70047603061231,70
CCDC65,0.0326988051071173,0,0.355626078946405,0.479357798165138,0.0680313600832766,0.761692558364806,0,18.1214010266508,2.73021076348885,1.69740660066674,71
CEP131,0.276376539714948,0,0.119540898210957,0.479357798165138,0.0995762290450931,0.558967420974095,0.160550458715596,25.7644837389663,3.06612758037615,1.69436934482583,72
TEX9,0.160312154231167,0,0.355626078946405,0.479357798165138,0.127448513024785,0.566923203982161,0,21.7465107879814,2.94930317087456,1.68966774834966,73
TEKT1,0.0224476922932156,0,0.355626078946405,0.239678899082569,0.0656983039880169,0.683902680063719,0.321100917431193,13.1297268900026,3.12648446024991,1.68845457180512,74
CFAP74,0,0,0.355626078946405,0.479357798165138,0,0.523019068122836,0.321100917431193,15.3658522740847,3.14497290283821,1.67910386266557,75
CFAP300,0,0,0.229756197010276,0.479357798165138,0.127448513024785,0.520661799083409,0.321100917431193,16.6439998534381,3.48466915255719,1.6783252247148,76
KIFAP3,0.19977461137544,0.055045871559633,0.236085180735448,0.479357798165138,0.0338779250570762,0.667401796787731,0,23.3889577053813,3.0926094663657,1.67154318368047,77
DYDC2,0.106118792971856,0,0.236085180735448,0.239678899082569,0.0680313600832766,0.693331756221427,0.321100917431193,16.0723554510367,3.04966896808142,1.66434690652577,78
FAM161A,0.0553597337000689,0,0.589449541284404,0.239678899082569,0,0.604344849983062,0.160550458715596,12.6396513408033,2.69604257069898,1.6493834827657,79
LZTFL1,0.262071858737513,0,0.236085180735448,0.479357798165138,0,0.6712323589768,0,24.6373748747728,2.42782689524245,1.6487471966149,80
CEP41,0.0142168717857032,0,0.469908643073447,0.479357798165138,0.0680313600832766,0.608175412172131,0,16.371167006809,2.74167925699458,1.6396900852797,81
KIF3A,0.20282229146275,0,0.236085180735448,0.0239678899082569,0.127448513024785,0.727806815923045,0.321100917431193,15.8947854822038,3.01699720419161,1.63923160848548,82
WDR19,0.366384352623911,0.0655307994757536,0.355626078946405,0.0239678899082569,0,0.824160187909618,0,20.8097221585987,2.68550009602477,1.63566930886394,83
OSCP1,0,0,0.589449541284404,0.479357798165138,0,0.559262079604024,0,14.8417608154402,2.57918828196521,1.62806941905356,84
RIBC2,0.0207407943823256,0,0.236085180735448,0.479357798165138,0.0680313600832766,0.49532115690957,0.321100917431193,16.5283711610464,3.23639170991779,1.62063720770695,85
IQUB,-0.0207270334354553,0,0.355626078946405,0.479357798165138,0,0.783791955609432,0,15.9790021211795,2.3887666760216,1.59804879928552,86
SAXO2,-0.00829081337418214,0,0.589449541284404,0.239678899082569,0,0.447291800231248,0.321100917431193,9.80353451574606,2.95272043878205,1.58923034465523,87
RPGRIP1,0.109553541407477,0,0.233823462337999,0.479357798165138,0,0.439925334483039,0.321100917431193,18.4710515526885,2.9911334271004,1.58376105382485,88
TTC29,0.00767683988072712,0,0.236085180735448,0.479357798165138,0,0.538046658249182,0.321100917431193,15.6537368833012,2.96746496476679,1.58226739446169,89
CFAP100,0.00842241040490752,0,0.11021529879932,0.479357798165138,0.127448513024785,0.531858827020686,0.321100917431193,16.9282892771648,3.30413913875088,1.57840376484603,90
NME5,0.0507745420917971,0,0.355626078946405,0.0239678899082569,0.0680313600832766,0.754915409876453,0.321100917431193,10.2043630187871,2.79610209461548,1.57441619833738,91
CFAP126,0,0,0.355626078946405,0.239678899082569,0.0338779250570762,0.607880753542203,0.321100917431193,11.3987639252162,2.88056591699643,1.55816457405944,92
CCDC146,0.0602698154334084,0,0.355626078946405,0.479357798165138,0,0.657972720630024,0,17.5359691093392,2.36112336725939,1.55322641317497,93
CCDC96,0.030835260477504,0,0.236085180735448,0.479357798165138,0,0.482061518562794,0.321100917431193,16.0324266964589,2.93883705682569,1.54944067537208,94
DLEC1,0.0116431277555328,0,0.355626078946405,0.479357798165138,0,0.381582925757224,0.321100917431193,14.6744176015128,3.01325445549337,1.54931084805549,95
IFT122,0.40496254261876,-0.0152905198776758,0.355626078946405,0.0239678899082569,0,0.779666734790435,0,20.9392144166299,1.8073645974266,1.54893272638618,96
WDR63,0.00207329380208171,0,0.355626078946405,0.479357798165138,0,0.706296735938274,0,15.8653744453385,2.33740843318378,1.5433539068519,97
DNAAF6,0.042329934038635,0,0.229756197010276,0.479357798165138,0.127448513024785,0.503276939917636,0.160550458715596,17.4974005570319,3.0203156107083,1.54271984087207,98
DRC1,0,0,0.355626078946405,0.479357798165138,0,0.706591394568203,0,15.7947513566535,2.33508581098591,1.54157527167975,99
ALMS1,0.213253076785548,0,0.355626078946405,0.239678899082569,0.0680313600832766,0.579004207809224,0.0802752293577982,18.299382678027,2.51985536881999,1.53586885206482,100
CCDC114,0,0,0.355626078946405,0.479357798165138,0,0.700108904709779,0,15.7442926410572,2.32837235355533,1.53509278182132,101
ENKD1,0.00939893190277044,0,0.236085180735448,0.479357798165138,0.0338779250570762,0.607586094912274,0.160550458715596,16.1279475617763,2.68937245833268,1.5268563894883,102
ODF2,0.182952042591542,0,0.236085180735448,0.239678899082569,0,0.546002441257248,0.321100917431193,16.8800013738487,2.69785533699424,1.525819481098,103
CFAP70,0,0,0.355626078946405,0.0239678899082569,0.0680313600832766,0.756388703026095,0.321100917431193,8.43011662298108,2.73327410030206,1.52511494939523,104
CATIP,0.0392656458843231,0,0.355626078946405,0.479357798165138,0.127448513024785,0.200367868351283,0.321100917431193,15.6361569216642,3.41626825714911,1.52316682180313,105
DNAI1,0.00116080212725978,0,0.355626078946405,0.0239678899082569,0.0680313600832766,0.902834042100489,0.160550458715596,9.11084968804596,2.38640845600972,1.51217063188128,106
TEKT4,0.0198683675052427,0,0.355626078946405,0.239678899082569,0,0.573111035210656,0.321100917431193,11.454520701442,2.72203162002247,1.50938529817607,107
RSPH14,0.0481605034654443,0,0.236085180735448,0.239678899082569,0.0680313600832766,0.595505091085212,0.321100917431193,13.2725246082918,2.87489803002952,1.50856195188314,108
SPAG6,0.00299569798341603,0,0.355626078946405,0.0239678899082569,0,0.802355449294919,0.321100917431193,8.14552134354737,2.48805875969038,1.50604603356419,109
TCTEX1D2,0.0909166722345909,0,0.236085180735448,0.479357798165138,0,0.697456977040424,0,18.8220642612179,2.23805663411118,1.5038166281756,110
CFAP61,0,0,0.236085180735448,0.479357798165138,0,0.627622881747403,0.160550458715596,15.5809941165571,2.5505027919502,1.50361631936358,111
CFAP52,0.0360160751904481,0,0.355626078946405,0.0239678899082569,0,0.766701755073588,0.321100917431193,9.02930793157708,2.49298615214275,1.50341271654989,112
C7orf57,0,0,0.355626078946405,0.239678899082569,0.127448513024785,0.450533045160459,0.321100917431193,11.2024522471338,3.12557975926619,1.49438745364541,113
CCDC13,0.0385231364515828,0,0.11021529879932,0.479357798165138,0.133729664071293,0.410754130120131,0.321100917431193,17.1132934195645,3.2442562864462,1.49368094503866,114
UBXN11,-0.0251304011944094,0,0.355626078946405,0.479357798165138,0,0.361546138922095,0.321100917431193,13.6037858593101,2.94589545894159,1.49250053227042,115
B9D1,0.23579612891855,0.0611620795107034,0.236085180735448,0.239678899082569,0,0.71955637428505,0,19.7560845537687,2.61123637559568,1.49227866253232,116
BBOF1,-0.00826055493121065,0,0.229756197010276,0.479357798165138,0,0.629096174897045,0.160550458715596,15.4211579999899,2.53082169604283,1.49050007385684,117
MDM1,0.0640434878071255,0,0.355626078946405,0.239678899082569,0,0.509759429776059,0.321100917431193,12.5150174828464,2.71241222815806,1.49020881304335,118
NME7,0.160718206083611,0,0.355626078946405,0.0239678899082569,0.0680313600832766,0.878082717186507,0,14.0297402003465,2.06300498783257,1.48642625220806,119
OFD1,0.146754661765335,0,0.236085180735448,0.479357798165138,0,0.623792319558334,0,20.2124628692534,2.23253875046283,1.48598996022426,120
