Gene_name_A	Gene_name_B	type
SGTB	AKIRIN1	Wormbase
SIN3A	AKIRIN1	Wormbase
SKP1	AKIRIN1	Wormbase
SLC12A6	AKIRIN1	Wormbase
SLC25A11	AKIRIN1	Wormbase
SLC25A12	AKIRIN1	Wormbase
SLC25A15	AKIRIN1	Wormbase
SMARCA4	AKIRIN1	Wormbase
SMARCC2	AKIRIN1	Wormbase
SMC1A	AKIRIN1	Wormbase
SMC3	AKIRIN1	Wormbase
SMNDC1	AKIRIN1	Wormbase
SNRNP200	AKIRIN1	Wormbase
SNRPD1	AKIRIN1	Wormbase
SNRPD2	AKIRIN1	Wormbase
SNRPE	AKIRIN1	Wormbase
SSR2	AKIRIN1	Wormbase
UQCRB	AKIRIN1	Wormbase
TGDS	AKIRIN1	Wormbase
RO60	AKIRIN1	Wormbase
TUBA1C	AKIRIN1	Wormbase
TUBB	AKIRIN1	Wormbase
UBR2	AKIRIN1	Wormbase
UBR5	AKIRIN1	Wormbase
UBR7	AKIRIN1	Wormbase
UGT1A10	AKIRIN1	Wormbase
UGT2B7	AKIRIN1	Wormbase
UQCRC2	AKIRIN1	Wormbase
USO1	AKIRIN1	Wormbase
USP24	AKIRIN1	Wormbase
USP7	AKIRIN1	Wormbase
VAPA	AKIRIN1	Wormbase
VCP	AKIRIN1	Wormbase
VPS4B	AKIRIN1	Wormbase
WAPL	AKIRIN1	Wormbase
WDR5	AKIRIN1	Wormbase
XPO1	AKIRIN1	Wormbase
ZBTB24	AKIRIN1	Wormbase
AKT3	AKT1	Wormbase
FOXO3	AKT1	Wormbase
NFE2L3	AKT1	Wormbase
CDX2	AKT3	Wormbase
FOXO3	AKT3	Wormbase
NFE2L3	AKT3	Wormbase
SYVN1	AKTIP	Wormbase
TRIM71	AKTIP	Wormbase
ALDOA	ALDOA	Wormbase
TRAK1	ALDOA	Wormbase
AACS	ALKBH4	Wormbase
ABCF2	ALKBH4	Wormbase
ABCF3	ALKBH4	Wormbase
ACACA	ALKBH4	Wormbase
ACAT1	ALKBH4	Wormbase
ADH4	ALKBH4	Wormbase
ADRM1	ALKBH4	Wormbase
ALDH18A1	ALKBH4	Wormbase
ATG2B	ALKBH4	Wormbase
ATP5F1C	ALKBH4	Wormbase
ATP5PO	ALKBH4	Wormbase
BMPER	ALKBH4	Wormbase
CAD	ALKBH4	Wormbase
CCT4	ALKBH4	Wormbase
CCT8	ALKBH4	Wormbase
COPA	ALKBH4	Wormbase
CRYAB	ALKBH4	Wormbase
CSTF2T	ALKBH4	Wormbase
CTSL	ALKBH4	Wormbase
DDX17	ALKBH4	Wormbase
DDX3Y	ALKBH4	Wormbase
DDX4	ALKBH4	Wormbase
DNAJA2	ALKBH4	Wormbase
EEF1D	ALKBH4	Wormbase
EEF1G	ALKBH4	Wormbase
EIF3B	ALKBH4	Wormbase
EIF4A2	ALKBH4	Wormbase
ENO1	ALKBH4	Wormbase
FIGNL1	ALKBH4	Wormbase
GAPDH	ALKBH4	Wormbase
H1-0	ALKBH4	Wormbase
HADHB	ALKBH4	Wormbase
HDLBP	ALKBH4	Wormbase
HSD17B4	ALKBH4	Wormbase
KIF21B	ALKBH4	Wormbase
LGALS8	ALKBH4	Wormbase
LMNB1	ALKBH4	Wormbase
LONP1	ALKBH4	Wormbase
LY75	ALKBH4	Wormbase
MCM4	ALKBH4	Wormbase
MYH6	ALKBH4	Wormbase
NACA4P	ALKBH4	Wormbase
NR1H3	ALKBH4	Wormbase
NSF	ALKBH4	Wormbase
NUDT8	ALKBH4	Wormbase
OLA1	ALKBH4	Wormbase
PAAF1	ALKBH4	Wormbase
PABPC1	ALKBH4	Wormbase
PHB	ALKBH4	Wormbase
PMPCB	ALKBH4	Wormbase
PNISR	ALKBH4	Wormbase
PNN	ALKBH4	Wormbase
PRDX3	ALKBH4	Wormbase
PSMC1	ALKBH4	Wormbase
PSMC2	ALKBH4	Wormbase
PSMC3	ALKBH4	Wormbase
PSMC4	ALKBH4	Wormbase
PSMC5	ALKBH4	Wormbase
PSMC6	ALKBH4	Wormbase
PSMD1	ALKBH4	Wormbase
PSMD10	ALKBH4	Wormbase
PSMD11	ALKBH4	Wormbase
PSMD12	ALKBH4	Wormbase
PSMD13	ALKBH4	Wormbase
PSMD14	ALKBH4	Wormbase
PSMD2	ALKBH4	Wormbase
PSMD3	ALKBH4	Wormbase
PSMD4	ALKBH4	Wormbase
PSMD5	ALKBH4	Wormbase
PSMD6	ALKBH4	Wormbase
PSMD7	ALKBH4	Wormbase
PSMD8	ALKBH4	Wormbase
PTPN12	ALKBH4	Wormbase
RPL10A	ALKBH4	Wormbase
RPL11	ALKBH4	Wormbase
RPL13	ALKBH4	Wormbase
RPL18A	ALKBH4	Wormbase
RPL23	ALKBH4	Wormbase
RPL27	ALKBH4	Wormbase
RPL27A	ALKBH4	Wormbase
RPL30	ALKBH4	Wormbase
RPL34	ALKBH4	Wormbase
RPL35A	ALKBH4	Wormbase
RPL36	ALKBH4	Wormbase
RPL37A	ALKBH4	Wormbase
RPL5	ALKBH4	Wormbase
RPL7	ALKBH4	Wormbase
RPL9P7;	ALKBH4	Wormbase
RPLP1	ALKBH4	Wormbase
RPLP2	ALKBH4	Wormbase
RPS11	ALKBH4	Wormbase
RPS12	ALKBH4	Wormbase
RPS14	ALKBH4	Wormbase
RPS15	ALKBH4	Wormbase
RPS15A	ALKBH4	Wormbase
RPS16	ALKBH4	Wormbase
RPS19	ALKBH4	Wormbase
RPS20	ALKBH4	Wormbase
RPS21	ALKBH4	Wormbase
RPS24	ALKBH4	Wormbase
RPS3A	ALKBH4	Wormbase
RPS7	ALKBH4	Wormbase
SEC13	ALKBH4	Wormbase
SEC31A	ALKBH4	Wormbase
SEC61A2	ALKBH4	Wormbase
SFPQ	ALKBH4	Wormbase
SGTB	ALKBH4	Wormbase
SLC25A5	ALKBH4	Wormbase
SRRM1	ALKBH4	Wormbase
SRSF4	ALKBH4	Wormbase
SSBP1	ALKBH4	Wormbase
SUCLG1	ALKBH4	Wormbase
TCP1	ALKBH4	Wormbase
TMEM201	ALKBH4	Wormbase
TOP2A	ALKBH4	Wormbase
TPM1	ALKBH4	Wormbase
