Gene_name	Gene_synonyms
AFP	HPAFP
AGA	AGU
AGA	ASRG
AGA	GA
ACAN	AGC1
ACAN	AGCAN
ACAN	CSPG1
ACAN	CSPGCP
ACAN	MSK16
ACAN	SEDK
ACAN	SSOAOD
AGER	RAGE
AGER	SCARJ1
AGL	GDE
AGMX2	IMD6
AGMX2	XLA2
AGRP	AGRT
AGRP	ART
AGRP	ASIP2
JAG1	AGS
JAG1	AGS1
JAG1	AHD
JAG1	AWS
JAG1	CD339
JAG1	DCHE
JAG1	HJ1
JAG1	JAGL1
AGT	ANHU
AGT	SERPINA8
AGT	hFLT1
AGTR1	AG2S
AGTR1	AGTR1B
AGTR1	AT1
AGTR1	AT1AR
AGTR1	AT1B
AGTR1	AT1BR
AGTR1	AT1R
AGTR1	AT2R1
AGTR1	HAT1R
AGTR2	AT2
AGTR2	ATGR2
AGTR2	MRX88
APLNR	AGTRL1
APLNR	APJ
APLNR	APJR
APLNR	HG11
AGXT	AGT
AGXT	AGT1
AGXT	AGXT1
AGXT	PH1
AGXT	SPAT
AGXT	SPT
AGXT	TLH6
NR0B1	AHC
NR0B1	AHCH
NR0B1	AHX
NR0B1	DAX-1
NR0B1	DAX1
NR0B1	DSS
NR0B1	GTD
NR0B1	HHG
NR0B1	NROB1
NR0B1	SRXY2
AHCY	SAHH
AHCY	adoHcyase
AIC	-
AHR	RP85
AHR	bHLHe76
AHSG	A2HS
AHSG	AHS
AHSG	APMR1
AHSG	FETUA
AHSG	HSGA
AIF1	AIF-1
AIF1	IBA1
AIF1	IRT-1
AIF1	IRT1
AIH3	-
CRYBG1	AIM1
CRYBG1	ST4
AK1	HTL-S-58j
AK2	ADK2
AK4	AK 4
AK4	AK3
AK4	AK3L1
AK4	AK3L2
AK4P1	AK3P1
AKT1	AKT
AKT1	CWS6
AKT1	PKB
AKT1	PKB-ALPHA
AKT1	PRKBA
AKT1	RAC
AKT1	RAC-ALPHA
AKT2	HIHGHH
AKT2	PKBB
AKT2	PKBBETA
AKT2	PRKBB
AKT2	RAC-BETA
ALAD	ALADH
ALAD	PBGS
ALAS1	ALAS
ALAS1	ALAS-H
ALAS1	ALAS3
ALAS1	ALASH
ALAS1	MIG4
ALAS2	ALAS-E
ALAS2	ALASE
ALAS2	ANH1
ALAS2	ASB
ALAS2	SIDBA1
ALAS2	XLDPP
ALAS2	XLEPP
ALAS2	XLSA
ALB	HSA
ALB	PRO0883
ALB	PRO0903
ALB	PRO1341
ALCAM	CD166
ALCAM	MEMD
